year,province,male,female
2022,Bolu,1545,1414
2022,Burdur,1277,1192
2022,Bursa,17961,16878
2022,Denizli,5553,5302
2022,Diyarbakır,18207,17287
2022,Düzce,2255,2159
2022,Edirne,1798,1747
2022,Elazığ,3367,3240
2022,Erzincan,1284,1197
2022,Erzurum,5542,5026
2022,Eskişehir,4299,4117
2022,Gaziantep,20688,19157
2022,Giresun,1894,1860
2022,Gümüşhane,715,709
2022,Hakkari,2478,2345
2022,Hatay,12373,11963
2022,Isparta,2178,2094
2022,Iğdır,1601,1571
2022,Kahramanmaraş,8428,8128
2022,Karabük,1071,1026
2022,Karaman,1618,1427
2022,Kars,2089,1996
2022,Kastamonu,1684,1577
2022,Kayseri,8759,8225
2022,Kilis,1409,1279
2022,Kocaeli,13060,12514
2022,Konya,15397,14612
2022,Kütahya,2565,2416
2022,Kırklareli,1688,1468
2022,Kırıkkale,1316,1201
2022,Kırşehir,1249,1151
2022,Malatya,4661,4500
2022,Manisa,8245,7777
2022,Mardin,9392,9046
2022,Mersin,11565,11035
2022,Muğla,4754,4502
2022,Muş,4264,4004
2022,Nevşehir,1839,1646
2022,Niğde,2300,2160
2022,Ordu,3659,3427
2022,Osmaniye,3946,3641
2022,Rize,1634,1646
2022,Sakarya,6352,5891
